time, tics, freq
11.3655,4993,0.0018
11.377,4999,0.0018
11.377,4999,0.0018
11.377,4999,0.0018
11.3924,5005,0.0018
11.4,5010,0.0018
11.4,5010,0.0018
11.4,5011,0.0018
11.4,5028,0.0018
11.4039,5011,0.0018
11.4078,5012,0.0018
11.4154,5014,0.0018
11.4154,5014,0.0018
11.4308,5021,0.0018
11.4308,5021,0.0018
11.4347,5022,0.0018
11.4423,5026,0.0018
11.4462,5028,0.0018
11.45,5031,0.0018
11.4654,5036,0.0018
11.4692,5039,0.0018
11.4731,5041,0.0018
11.4731,5041,0.0018
11.4807,5044,0.0018
11.4846,5046,0.0018
11.488,5047,0.0018
11.4923,5048,0.0018
11.4923,5048,0.0018
11.4961,5050,0.0018
11.4999,5051,0.0018
11.5076,5054,0.0018
11.5191,5057,0.0018
11.5191,5057,0.0018
11.5229,5060,0.0018
11.5268,5059,0.0018
11.53,5061,0.0018
11.53,5061,0.0018
11.53,5062,0.0018
11.53,5063,0.0018
11.53,5064,0.0018
11.5345,5063,0.0018
11.54,5064,0.0018
11.54,5064,0.0018
11.54,5064,0.0018
11.546,5065,0.0018
11.5498,5068,0.0018
11.5498,5068,0.0018
11.5537,5069,0.0018
11.5576,5070,0.0018
11.561,5070,0.0018
11.5729,5075,0.0018
11.5768,5076,0.0018
11.5844,5080,0.0018
11.5883,5083,0.0018
11.5921,5083,0.0018
11.596,5083,0.0018
11.596,5083,0.0018
11.596,5083,0.0018
11.6037,5086,0.0018
11.61,5087,0.0018
11.61,5087,0.0018
11.61,5087,0.0018
11.6114,5087,0.0018
11.6114,5087,0.0018
11.6229,5093,0.0018
11.634,5093,0.0018
11.634,5093,0.0018
11.634,5093,0.0018
11.6382,5093,0.0018
11.6421,5095,0.0018
11.6459,5096,0.0018
11.6498,5097,0.0018
11.6574,5100,0.0018
11.661,5100,0.0018
11.661,5100,0.0018
11.661,5100,0.0018
11.6651,5102,0.0018
11.6651,5102,0.0018
11.669,5105,0.0018
11.669,5105,0.0018
11.669,5105,0.0018
11.672,5106,0.0018
11.672,5106,0.0018
11.6843,5111,0.0018
11.6882,5112,0.0018
11.692,5115,0.0018
11.692,5115,0.0018
11.6959,5117,0.0018
